Item name,unit,Protein,Fat,fibre,carbohydrate,Calories,energy_kj,Calcium,Iron,Betacarotene,caroten_total,Thiamine,Riboflavin,Niacin,Ascorbic Acid,ext_source,pu_cal,pu_prot,pu_fat
Mango,Kilograms,6.8,5.7999997,19.7,86.7,449.0303,1880,151.09999,5.1,10610,12100,0.29999998,0.39999998,2.8,307.5,0,740,6,4
Grapes,Kilograms,7.6,3.1999998,13.5,132.29999,606.6686,2540,105.7,2.2,293.6,2130,0.29999998,0.29999998,1.4,183,0,710,5,3
Other Fruits,Rupees,1.3504878,0.30439025,3.1143901,10.39122,51.33182,214.91608,25.91683,0.76682925,295.87894,1047.1525,0.04414634,0.0402439,0.43292683,29.59317,0,5.199999809,0.2,0.05000000075
Groundnuts,Kilograms,236.5,396.30002,103.8,172.70001,5197.287,21760,540,34.4,227.5,828,5.7,1.1999999,113.5,0,0,5670,253,401
Sesamum,Kilograms,191700,431000,171600,102900,5073087,21240000,16640000,139000,130899.99,607800,3400,1000,31199.998,0,0,4500,200,400.000006
Other oilseeds,Kilograms,191700,431000,171600,102900,5073087,21240000,16640000,139000,130899.99,607800,3400,1000,31199.998,0,0,4500,200,400.000006
Fennel,Kilograms,71.34286,23.414286,169.15715,310.94287,1806.6986,7564.2856,2105.4143,121.42858,16862.65,181244.16,1.7571428,2.0285714,17.928572,39.585712,0,3599.999905,140,189.9999976
Other spices,Kilograms,71.34286,23.414286,169.15715,310.94287,1806.6986,7564.2856,2105.4143,121.42858,16862.65,181244.16,1.7571428,2.0285714,17.928572,39.585712,0,3599.999905,140,189.9999976
Tea,Kilograms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.8,0.07999999821
Meals,Number,10,1.67,3.3,70,333,1394.2043,0,2.4,0,0,0,0,0,0,1,1200,25,20
Complete meals in hotel,Number,10,1.67,3.3,70,333,1394.2043,0,2.4,0,0,0,0,0,0,1,1200,25,20
Various processed foods,Rupees,4.65875,4.695,6.3075,33.49875,196.28749,821.6427,87.200836,4.2845836,672.9814,5860.5703,0.060208336,0.08404166,0.6455,3.02125,0,26.60000038,0.7,1.049999952
"Pan, betel, etc.",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.700000048,0.2,0.0700000003
